filename,annotator,region,cell_type,cell_number,n_triangles,volume_um3,surface_area_um2,x_span_um,y_span_um,z_span_um,x_centroid_um,y_centroid_um,z_centroid_um,lateral_spread_um,xy_footprint_um2,hull_volume_um3,hull_area_um2,sa_v_ratio,sphericity,aspect_ratio,branching_index,terminal_size,ipl_depth_pct
KM_dorsal_s2_ (1).stl,KM,Dorsal,S2, (1),45656,5.605472696014865,103.50396875798847,7.133187499999991,4.666109374999991,8.19032421875,119.73299008133971,158.20295748653427,54.95703196321404,7.133187499999991,33.28423306738271,54.01039024902564,88.85217947338515,18.46480651517101,0.14743546010414704,1.1481997660583028,3.1096996751719796,Medium,9.902337827818833
KM_dorsal_s2_ (10).stl,KM,Dorsal,S2, (10),40404,4.395701777865069,88.47328119770322,6.094531250000003,4.929312500000009,6.2016171875000055,95.82756160042683,143.3890185354482,67.06315153309001,6.094531250000003,30.041849072265695,48.46019068392419,79.88178884508666,20.127225564577188,0.14667546394627143,1.0175708242533013,2.9450011876725917,Medium,42.74033722736934
KM_dorsal_s2_ (11).stl,KM,Dorsal,S2, (11),40418,4.606713690277695,88.6345977817973,9.439546875000005,2.9296875,5.041652343749995,97.3887337159367,147.04746144379774,66.69963660177577,9.439546875000005,27.654922485351577,28.843426718932733,63.621837269927,19.240309630888817,0.1510572800722443,0.5340989785328009,3.2050206551381875,Medium,41.754298470084294
KM_dorsal_s2_ (12).stl,KM,Dorsal,S2, (12),26508,6.543313062878647,67.27823077710502,8.985664062500007,4.494078125000016,5.638257812500001,97.0741511771407,155.43492271653054,68.47653571641895,8.985664062500007,40.382276301880054,50.0176673315817,82.32307646401478,10.281982556938338,0.2514633490103509,0.627472580021127,1.6660336399603306,Medium,46.57415934481978
KM_dorsal_s2_ (13).stl,KM,Dorsal,S2, (13),50844,5.7484761361984935,107.53439190716222,5.2937031250000075,3.800578124999987,6.935781250000005,93.70413165039754,156.49099056632377,74.06915342528534,5.2937031250000075,20.1191322971191,39.74992945406038,68.71488065487607,18.706590992004266,0.14431292506509721,1.3101946003063774,5.344882190697671,Medium,61.74420420565635
KM_dorsal_s2_ (14).stl,KM,Dorsal,S2, (14),47416,6.748073915213829,100.87571845993962,10.198531249999988,4.969093749999985,5.222453125000001,97.49848393551667,157.0139595565491,71.28466721791563,10.198531249999988,50.67745789355447,61.6180739468499,97.91675908812861,14.948816466356552,0.1711922254218017,0.5120789451912507,1.9905441719634822,Medium,54.19125085195012
KM_dorsal_s2_ (15).stl,KM,Dorsal,S2, (15),73204,6.958067290271197,155.21167108601702,8.684265624999995,6.114531249999999,6.7606015625,97.69790240799684,168.66974667168688,75.98226741565807,8.684265624999995,53.10021354736324,94.5738689139338,128.94388932796596,22.30672176784417,0.11355828699786125,0.7784885739834799,2.9229952332974047,Medium,66.93354961931438
KM_dorsal_s2_ (16).stl,KM,Dorsal,S2, (16),43490,4.75970228080743,89.83029447624929,5.293156249999996,4.5665234374999955,3.9933945312500043,98.34996529536244,131.47157476611002,64.71237627346085,5.293156249999996,24.171322073974565,19.08123621770189,42.24634353949427,18.873091041528465,0.152328498090701,0.7544448609938555,3.7163997153871122,Medium,36.36383019564741
KM_dorsal_s2_ (17).stl,KM,Dorsal,S2, (17),46600,4.639160375019163,96.31779515164928,6.833367187500002,5.767992187499985,5.288570312499999,100.77302927021861,129.14558972538896,62.522148929916625,6.833367187500002,39.41480855181876,48.82799488129444,83.65949970116816,20.76190244905069,0.13965951073062285,0.773933284629306,2.4436956233091935,Medium,30.422811376441985
KM_dorsal_s2_ (18).stl,KM,Dorsal,S2, (18),33090,6.6488760933788775,75.83750279538864,8.192984374999995,4.8577031250000005,4.622644531250003,98.55156676724465,135.2143055815264,62.702060228063296,8.192984374999995,39.79908580151365,53.399491051990296,86.66617437061144,11.406063480549681,0.22547527586508465,0.5642198641749523,1.9055086635307683,Medium,30.9108230028275
KM_dorsal_s2_ (19).stl,KM,Dorsal,S2, (19),36594,4.02317392366039,80.58695132694318,7.622078125000002,3.9927031249999914,4.938585937500001,99.47455099104076,142.38637787145774,64.88482028414124,7.622078125000002,30.43269514868158,36.18010354473826,66.69727805924076,20.030690409134248,0.15179772749476328,0.6479316869374124,2.648038595767763,Medium,36.831586712216904
KM_dorsal_s2_ (2).stl,KM,Dorsal,S2, (2),38656,5.063133713333736,89.72317347507538,7.660421874999997,7.329984374999981,9.380664062500003,119.82750933655998,167.2067473857282,56.923605600487576,7.660421874999997,56.15077264965804,64.07310661063265,108.7409506574652,17.72087773206342,0.15892507671610517,1.2245623303220499,1.597897397332106,Medium,15.236693196375779
KM_dorsal_s2_ (20).stl,KM,Dorsal,S2, (20),43670,4.536386109066039,92.34155114406815,3.7626484375000047,2.982296875000003,4.0967421874999985,97.30180549254351,163.25885388818125,74.50326157831465,3.7626484375000047,11.221334676879907,12.469639206394502,32.934916107843584,20.355752117202304,0.14351378995991815,1.0887921780494523,8.229105877603477,Small,62.921727951910135
KM_dorsal_s2_ (21).stl,KM,Dorsal,S2, (21),45756,6.0206324757846605,95.85383492225948,5.8736171875000025,4.057609374999998,4.008574218749999,103.25844399146423,133.33091530880742,61.766490420740595,5.8736171875000025,23.832844165161134,18.363080893178733,43.88785288673833,15.920891253168046,0.16696907566105015,0.6824711401486782,4.021921775596497,Medium,28.37307830323379
