region,cell_type,metric,n,mean,sd,median,q25,q75,min,max
Dorsal,S2,volume_um3,36,5.088143506438052,1.3034721463869425,4.901511912980329,4.536386109066039,6.0206324757846605,1.3369104589262013,6.958067290271197
Dorsal,S2,surface_area_um2,36,88.35526132201008,23.576861143888603,89.17888562843635,75.83750279538864,96.31779515164928,33.16766243403824,155.21167108601702
Dorsal,S2,lateral_spread_um,36,6.756575520833333,1.8782608268439513,6.920683593749999,5.293156249999996,8.192984374999995,3.7626484375000047,10.198531249999988
Dorsal,S2,z_span_um,36,5.301030164930557,1.6565053587947824,4.990119140624998,4.100015625000005,6.2016171875000055,2.4159882812500015,9.380664062500003
Dorsal,S2,ipl_depth_pct,36,38.15933796256275,15.565603949613758,36.59770845393216,28.37307830323379,46.57415934481978,9.902337827818833,66.93354961931438
Dorsal,S2,sa_v_ratio,36,17.915251651892873,3.5673240236742014,18.585698753587636,15.34596282048271,20.127225564577188,10.281982556938338,24.809187640493377
Dorsal,S2,sphericity,36,0.1657190192719336,0.03211622402996049,0.15562678740340308,0.14667546394627143,0.17694466532205394,0.11355828699785858,0.2514633490103509
Dorsal,S2,aspect_ratio,36,0.8193585253528191,0.26130799988346043,0.7641890728115808,0.6100895851170098,1.0340641388261582,0.4685709220610393,1.3101946003063774
Dorsal,S4,volume_um3,47,4.205351442845356,0.8265741507092668,4.460678927500261,3.6621496497663557,4.717143605262356,2.5443446459983474,5.607100880902471
Dorsal,S4,surface_area_um2,47,57.14356273294248,15.578388400913326,60.28833164558791,41.3619421866296,68.32973778821744,33.85570943135425,81.56702016429213
Dorsal,S4,lateral_spread_um,47,4.487876163563827,1.1305214725104904,4.305179687500001,3.7674374999999998,4.956449218750002,3.0321640625000015,8.337976562500003
Dorsal,S4,z_span_um,47,4.694796708776595,2.0569024837057324,4.585203125,3.1913515625000066,5.303275390625,2.6611953124999985,11.86321484375
Dorsal,S4,ipl_depth_pct,47,36.23737434649774,8.470418368384552,35.316807653914324,30.41123010718193,43.05841796305749,15.831552433344138,52.400373626880246
Dorsal,S4,sa_v_ratio,47,13.804575151547178,3.4132959058408483,14.407938043576983,11.719471795209994,15.760194344364301,6.967895982891208,20.891182235698935
Dorsal,S4,sphericity,47,0.23404159583837547,0.06674009462879733,0.2103798025553554,0.18810877886668587,0.2457478745339928,0.15952039110293287,0.4046215961597836
Dorsal,S4,aspect_ratio,47,1.026394799007143,0.24467957704564033,1.010626357402667,0.8564955143834739,1.2525338230053897,0.5808764044216643,1.4227930187648565
Ventral,S2,volume_um3,60,6.856867793501228,3.232460097917472,5.419740082312938,4.7461193038384275,9.658932336042602,3.4720936684628865,15.746169954283372
Ventral,S2,surface_area_um2,60,99.62945129949541,47.80687928492653,81.37708620659596,67.82676327522336,118.98423474668401,36.401177127483614,257.342233159036
Ventral,S2,lateral_spread_um,60,6.883310677083331,2.4940300180828783,6.5878125000000125,4.742374999999981,8.622808593749994,3.340968750000002,15.54195312500002
Ventral,S2,z_span_um,60,6.6137732421875,2.876250604442558,5.673031249999994,4.802843749999994,7.911367187500005,3.5399570312500046,16.250082031250003
Ventral,S2,ipl_depth_pct,60,57.486572364037464,24.852836550601495,61.05311072854403,32.42944599986013,78.67504739470972,13.200849827613961,94.48844425398323
Ventral,S2,sa_v_ratio,60,14.724591529845645,2.9606278146896967,15.02145724311708,12.90559127939412,16.611712242078386,7.485296144723795,21.64846958976171
Ventral,S2,sphericity,60,0.18797336207685383,0.052266275642687786,0.17375429250530183,0.16448057553613962,0.211678912456181,0.11805643981587519,0.381334697782735
Ventral,S2,aspect_ratio,60,1.0004856561429791,0.33056992421978904,0.9184496222462074,0.7959821451425652,1.1326915441888037,0.4537501822184905,1.8513211509809817
Ventral,S4,volume_um3,42,4.710340696342764,1.6624177715625064,4.440025004349698,4.320582921028575,4.813166782973299,1.8877065432755356,10.59147413284532
Ventral,S4,surface_area_um2,42,72.99888586913055,28.39325873375631,70.04383634720642,51.754759358763195,82.04513755916612,31.539994209874706,154.96649528241113
Ventral,S4,lateral_spread_um,42,12.863197916666664,3.721072895464767,13.870499999999993,9.325406249999986,15.752453124999988,6.926265625000013,19.456312499999996
Ventral,S4,z_span_um,42,6.789650483630954,1.9266962974332886,6.715281250000004,5.358523437500011,8.085820312500005,3.6456406249999986,11.872332031249996
Ventral,S4,ipl_depth_pct,42,80.68390818826356,10.731580883312697,83.7314351299768,75.22705795318745,88.78803105946973,55.84546966150275,93.71606722849694
Ventral,S4,sa_v_ratio,42,15.627911652301966,3.28732167587505,15.68884757762147,13.757817842819714,18.65443683601391,8.455228142043756,20.453117592080996
Ventral,S4,sphericity,42,0.19851646385454735,0.054527035171549824,0.18501442051366107,0.16040615355789986,0.20220590320526466,0.13443241267920583,0.36879076267057115
Ventral,S4,aspect_ratio,42,0.5487677436547073,0.14243611333983697,0.5559921355415334,0.47382109196105704,0.6218204778126236,0.29318491038187716,0.8433074069018036
